,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
Career,9.1,0,908,0,0,0,0,,,6-1,0,0,31,0,Zach Terrell,,1387,0,65.5,96,12100,8.7,zach-terrell-1,279,78,QB,0,157.1,0,43,21.5,2,277,13,620,2.2,13,0.0,,Career,1,0.0,Western Michigan,1,13,,212,663,2.4,,0,,
Career,16.0,,10,0,0,,,,,6-1,,,0,0,Tom Flacco,,13,,76.9,1,188,14.5,tom-flacco-1,38,14,QB,0,223.8,0,0,,0,38,2,340,8.9,2,,,Career,,,Western Michigan,,2,1.0,185,340,8.9,,,,
Career,9.6,1.0,759.0,0.0,0.0,0.0,0.0,,,6-2,0.0,0.0,25.0,0.0,Logan Woodside,,1166.0,0.0,65.1,93.0,10514.0,9.0,logan-woodside-1,146,24,QB,0.0,162.9,0.0,0.0,,0.0,146.0,4.0,88.0,0.6,4,0.0,,Career,4.0,0.0,Toledo,5.0,4,,210,88,0.6,,0.0,,
Career,7.8,,17,0,0,,,,,6-5,,,0,0,Michael Julian,,37,,45.9,2,249,6.7,michael-julian-1,25,6,QB,0,120.3,0,0,,0,25,1,51,2.0,1,,,Career,,,Toledo,,1,,250,51,2.0,,,,
Career,6.4,,125.0,0.0,0.0,,,,,6-1,,,6.0,0.0,Anthony Maddie,,208.0,,60.1,8.0,1440.0,6.9,anthony-maddie-1,127,48,QB,0.0,125.2,0.0,9.0,9.0,1.0,126.0,8.0,759.0,6.0,8,,,Career,,,Northern Illinois,,8,,203,768,6.0,,,,
Career,5.4,0,141,,,0,0,,,6-2,0,0,10,,Ryan Graham,,267,0,52.8,16,1561,5.8,ryan-graham-1,128,,QB,,114.2,0,13,13.0,1,127,0,413,3.3,0,0.0,,Career,3,0.0,Northern Illinois,3,,,210,426,3.3,,0,,
Career,8.2,3,400,0,0,0,0,,,6-1,0,0,6,0,Drew Hare,,651,0,61.4,37,4862,7.5,drew-hare-1,285,66,QB,0,141.1,0,18,18.0,1,284,11,1201,4.2,11,0.0,,Career,1,0.0,Northern Illinois,4,11,,218,1219,4.3,,0,,
Career,6.8,0.0,80.0,0.0,0.0,0.0,0.0,,,6-2,0.0,0.0,7.0,0.0,Daniel Santacaterina,,135.0,0.0,59.3,8.0,1073.0,7.9,daniel-santacaterina-1,48,6,QB,0.0,135.2,0.0,0.0,,0.0,48.0,1.0,83.0,1.7,1,0.0,,Career,1.0,0.0,Northern Illinois,1.0,1,,205,83,1.7,,0.0,,
Career,6.3,0,743,0,0,0,0,,,6-3,0,0,38,0,Brogan Roback,,1282,0,58.0,57,8624,6.7,brogan-roback-1,177,30,QB,0,123.2,0,8,8.0,1,176,5,227,1.3,5,0.0,,Career,1,0.0,Eastern Michigan,1,5,,218,235,1.3,,0,,
Career,5.5,,92,0,0,,,,,6-3,,,10,0,Todd Porter,,152,,60.5,7,1140,7.5,todd-porter-1,42,6,QB,0,125.6,0,0,,0,42,1,174,4.1,1,,,Career,,,Overall,,1,,204,174,4.1,,,,
Career,13.5,,2.0,,,,,,,6-6,,,0.0,,James Pensyl,,2.0,,100.0,0.0,27.0,13.5,james-pensyl-1,,,QB,,213.4,,,,,,,,,,,,Career,,,Eastern Michigan,,,,237,,,,,,
Career,7.4,3,1022,0,0,0,0,,,6-3,0,0,55,0,Cooper Rush,,1648,0,62.0,90,12891,7.8,cooper-rush-1,216,30,QB,0,139.1,0,1,1.0,1,215,5,-118,-0.5,5,0.0,,Career,4,1.0,Central Michigan,7,5,,230,-117,-0.5,,0,,
Career,,60.0,,,,0.0,0.0,0.0,,6-2,0.0,0.0,,,Jake Johnson,,,0.0,,,,,jake-johnson-2,1,,QB,,,0.0,0.0,,0.0,1.0,0.0,-3.0,-3.0,0,3.0,,Career,72.0,15.0,Overall,132.0,,,205,-3,-3.0,0.0,0.0,,
Career,5.9,0,880,0,0,0,0,,,6-6,0,0,30,0,Riley Neal,,1477,0,59.6,55,8978,6.1,riley-neal-1,380,92,QB,0,118.9,0,26,13.0,2,378,15,1410,3.7,15,0.0,,Career,2,0.0,Overall,2,15,1.0,225,1436,3.8,,0,,
Career,4.3,,280,0,0,,,,,6-1,,,18,0,Jack Milas,,521,,53.7,13,2814,5.4,jack-milas-1,80,12,QB,0,100.4,0,7,7.0,1,79,2,211,2.7,2,,,Career,,,Ball State,,2,,205,218,2.7,,,,
Career,8.7,1,1035,0,0,0,0,,,6-2,0,0,29,0,Brett Rypien,,1617,0,64.0,90,13578,8.4,brett-rypien-1,214,30,QB,0,149.3,2,52,17.3,3,211,3,-102,-0.5,5,0.0,,Career,6,0.0,Boise State,7,5,,208,-50,-0.2,,0,,
Career,8.0,,15,0,0,,,,,5-11,,,0,0,Thomas Stuart,,23,,65.2,1,164,7.1,thomas-stuart-1,31,18,QB,0,139.5,0,0,,0,31,3,64,2.1,3,,,Career,,,Boise State,,3,,203,64,2.1,,,,
Career,5.1,0,130,0,0,0,0,,,6-3,0,0,10,0,Austin Apodaca,,248,0,52.4,8,1543,6.2,austin-apodaca-1,71,18,QB,0,107.3,0,0,,0,71,3,245,3.5,3,0.0,,Career,2,0.0,Overall,2,3,,212,245,3.5,,0,,
Career,6.4,,205,0,0,,,,,6-0,,,23,0,Lamar Jordan,,397,,51.6,20,3186,8.0,lamar-jordan-1,458,104,QB,0,124.1,0,0,,0,458,17,2501,5.5,17,,,Career,,,New Mexico,,17,1.0,192,2501,5.5,,,,
Career,10.8,,3,0,0,,,,,6-0,,,0,0,Jajuan Lawson,,5,,60.0,0,54,10.8,jajuan-lawson-1,13,6,QB,0,150.7,0,0,,0,13,1,65,5.0,1,,,Career,,,New Mexico,,1,,203,65,5.0,,,,
Career,7.7,1,365,0,0,1,0,,,6-5,0,0,21,0,Josh Allen,,649,0,56.2,44,5066,7.8,josh-allen-7,239,78,QB,0,137.7,1,6,3.0,2,237,12,767,3.2,13,0.0,,Career,3,0.0,Wyoming,4,13,,233,773,3.2,,0,,
Career,0.0,,0,,,,,,,6-3,,,0,,Nick Szpor,,1,,0.0,0,0,0.0,nick-szpor-1,,,QB,,0.0,,,,,,,,,,,,Career,,,Wyoming,,,,205,,,,,,
