,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
Career,7.5,0,179,0,0,0,0,,,6-5,0,0,11,0,Jeremy Johnson,,282,0,63.5,20,2223,7.9,jeremy-johnson-5,73,54,QB,0,145.3,0,0,,0,73,9,210,2.9,9,0.0,,Career,1,0.0,Auburn,1,9,,234,210,2.9,,0,,
Career,,,,,,,,,,6-1,,,,,Tyler Queen,,,,,,,,tyler-queen-1,1,,QB,,,0.0,0.0,,0.0,1.0,0.0,11.0,11.0,0,,,Career,,,Auburn,,,,236,11,11.0,,,,
Career,7.3,1.0,563.0,0.0,0.0,0.0,0.0,,,6-3,0.0,0.0,19.0,0.0,Danny Etling,,973.0,0.0,57.9,43.0,7076.0,7.3,danny-etling-1,201,42,QB,0.0,129.6,0.0,0.0,,0.0,201.0,7.0,70.0,0.3,7,0.0,,Career,1.0,0.0,Overall,2.0,7,,215,70,0.3,,0.0,,
Career,6.5,0,222,0,0,0,0,,,6-3,0,0,18,0,Brandon Harris,,418,0,53.1,21,3102,7.4,brandon-harris-4,131,42,QB,0,123.4,0,0,,0,131,7,456,3.5,7,0.0,,Career,2,0.0,Overall,2,7,,220,456,3.5,,0,,
Career,7.8,0.0,263.0,0.0,0.0,0.0,0.0,,,6-3,0.0,0.0,14.0,0.0,Justin McMillan,,469.0,0.0,56.1,27.0,3767.0,8.0,justin-mcmillan-1,231,104,QB,0.0,136.6,0.0,27.0,27.0,1.0,230.0,17.0,985.0,4.3,17,0.0,,Career,2.0,0.0,Overall,2.0,17,1.0,205,1012,4.4,,0.0,,
Career,6.5,,473,0,0,,,,,6-1,,,26,0,Trevor Knight,,852,,55.5,44,5856,6.9,trevor-knight-1,254,114,QB,0,124.2,1,4,4.0,1,253,18,1467,5.8,19,,,Career,,,Overall,,19,,215,1471,5.8,,,,
Career,7.3,,114,,,,,,,6-3,,,3,,Jake Hubenak,,196,,58.2,9,1381,7.0,jake-hubenak-1,55,,QB,,129.4,0,0,,0,55,0,57,1.0,0,,,Career,,,Texas A&M,,,,225,57,1.0,,,,
Career,1.0,,1.0,,,,,,,5-10,,,0.0,,Conner McQueen,,1.0,,100.0,0.0,1.0,1.0,conner-mcqueen-1,2,,QB,,108.4,0.0,0.0,,0.0,2.0,0.0,8.0,4.0,0,,,Career,,,Texas A&M,,,,175,8,4.0,,,,
Career,7.9,7,359,0,0,0,0,,,6-1,0,0,21,0,Austin Allen,,607,0,59.1,36,5045,8.3,austin-allen-1,109,24,QB,0,141.6,0,0,,0,109,4,-142,-1.3,4,0.0,,Career,2,0.5,Arkansas,9,4,,215,-142,-1.3,,0,,
Career,6.5,0.0,385.0,0.0,0.0,0.0,1.0,,,6-2,0.0,0.0,17.0,0.0,Ty Storey,,599.0,0.0,64.3,25.0,4154.0,6.9,ty-storey-1,191,54,QB,0.0,130.6,1.0,9.0,3.0,3.0,188.0,8.0,400.0,2.1,9,0.0,,Career,0.0,0.0,Overall,0.0,9,,225,409,2.1,,0.0,,
Career,6.3,0,511,0,0,0,0,,,6-5,0,0,30,0,Nick Fitzgerald,,942,0,54.2,55,6207,6.6,nick-fitzgerald-2,602,276,QB,0,122.5,0,9,9.0,1,601,46,3607,6.0,46,0.0,,Career,3,0.0,Mississippi State,3,46,,230,3616,6.0,,0,,
Career,5.8,1.0,262.0,0.0,0.0,0.0,0.0,,,6-1,0.0,0.0,11.0,0.0,Damian Williams,,450.0,0.0,58.2,17.0,2767.0,6.1,damian-williams-3,187,42,QB,0.0,117.5,0.0,0.0,,0.0,187.0,7.0,387.0,2.1,7,0.0,,Career,1.0,0.0,Overall,2.0,7,,215,387,2.1,,0.0,,
Career,5.0,,1.0,,,,,,,6-5,,,0.0,,Nick Tiano,,1.0,,100.0,0.0,5.0,5.0,nick-tiano-1,,,QB,,142.0,,,,,,,,,,,,Career,,,Mississippi State,,,,224,,,,,,
Career,8.6,0,513,0,0,0,0,,,6-2,0,0,21,0,Chad Kelly,,803,0,63.9,50,6858,8.5,chad-kelly-1,203,98,QB,0,150.9,0,0,,0,203,16,958,4.7,16,0.0,,Career,4,0.0,Overall,4,16,1.0,224,958,4.7,,0,,
Career,8.1,0,662,0,0,0,0,,,6-1,0,0,27,0,Shea Patterson,,1098,0,60.3,68,8800,8.0,shea-patterson-1,251,48,QB,0,143.1,0,0,,0,251,8,476,1.9,8,0.0,,Career,1,0.0,Overall,1,8,,212,476,1.9,,0,,
Career,8.2,0,751,0,0,0,0,,,6-2,0,0,32,0,Taylor Lamb,,1237,0,60.7,90,9763,7.9,taylor-lamb-1,330,140,QB,0,145.8,0,0,,0,330,23,2008,6.1,23,0.0,,Career,3,0.0,Appalachian State,3,23,1.0,200,2008,6.1,,0,,
Career,11.9,,14,0,0,,,,,6-1,,,0,0,J.P. Caruso,,18,,77.8,3,155,8.6,jp-caruso-1,29,6,QB,0,205.1,0,0,,0,29,1,171,5.9,1,,,Career,,,Appalachian State,,1,,205,171,5.9,,,,
Career,,,,,,,,,,6-2,,,,,Jake Easter,,,,,,,,jake-easter-1,1,,QB,,,0.0,0.0,,0.0,1.0,0.0,2.0,2.0,0,,,Career,,,Appalachian State,,,,190,2,2.0,,,,
Career,7.2,,177,0,0,,,,,6-0,,,11,0,Kevin Ellison,,323,,54.8,17,2469,7.6,kevin-ellison-3,426,164,QB,0,129.6,0,9,9.0,1,425,27,2486,5.8,27,,,Career,,,Georgia Southern,,27,1.0,195,2495,5.9,,,,
Career,5.6,0,84,0,0,0,0,,,6-1,0,0,8,0,Favian Upshaw,,159,0,52.8,6,1126,7.1,favian-upshaw-1,188,60,QB,0,114.7,0,0,,0,188,10,1295,6.9,10,0.0,,Career,2,0.0,Georgia Southern,2,10,,170,1295,6.9,,0,,
Career,3.4,,34,,,,,,,6-1,,,3,,Seth Shuman,,72,,47.2,1,357,5.0,seth-shuman-1,8,,QB,,85.1,0,0,,0,8,0,39,4.9,0,,,Career,,,Georgia Southern,,,,195,39,4.9,,,,
Career,-3.5,,1.0,,,,,,,6-0,,,1.0,,LaBaron Anthony,,11.0,,9.1,0.0,7.0,0.6,labaron-anthony-1,12,,QB,,-3.7,0.0,0.0,,0.0,12.0,0.0,24.0,2.0,0,,,Career,,,Georgia Southern,,,,195,24,2.0,,,,
Career,,,,,,,,,,6-2,,,,,Hampton McConnell,,,,,,,,hampton-mcconnell-1,2,,QB,,,0.0,18.0,9.0,2.0,0.0,0.0,0.0,,0,,,Career,,,Georgia Southern,,,,205,18,9.0,,,,
Career,,8,,0,0,0,0,,,5-11,0,0,,0,Vegas Harley,,,0,,,,,vegas-harley-1,9,6,QB,0,,0,0,,0,9,1,58,6.4,1,0.0,,Career,9,1.0,Georgia Southern,17,1,,185,58,6.4,,0,,
Career,8.2,0,788,0,0,0,0,,,6-4,0,0,33,0,Justice Hansen,,1261,0,62.5,83,10133,8.0,justice-hansen-1,348,84,QB,0,146.5,0,95,23.8,4,344,14,957,2.8,14,0.0,,Career,1,0.0,Arkansas State,1,14,,207,1052,3.0,,0,,
Career,7.3,0,230,0,0,0,0,,,6-1,0,0,9,0,Chad Voytik,,380,0,60.5,18,2824,7.4,chad-voytik-1,211,54,QB,0,133.8,0,29,29.0,1,210,9,693,3.3,9,0.0,,Career,1,0.0,Overall,1,9,,215,722,3.4,,0,,
Career,7.2,,968,0,0,,,,,6-3,,,29,0,Brandon Silvers,,1503,,64.4,71,10677,7.1,brandon-silvers-2,238,100,QB,0,135.8,0,9,9.0,1,237,16,415,1.8,16,,,Career,,,Troy,,16,2.0,219,424,1.8,,,,
Career,8.4,0,402,0,0,0,0,,,6-1,0,0,12,0,Kaleb Barker,,603,0,66.7,41,4793,7.9,kaleb-barker-1,173,50,QB,0,151.9,0,0,,0,173,8,680,3.9,8,0.0,,Career,1,0.0,Troy,1,8,1.0,206,680,3.9,,0,,
Career,6.3,0.0,219.0,0.0,0.0,0.0,0.0,,,6-3,0.0,0.0,12.0,0.0,Sawyer Smith,,380.0,0.0,57.6,19.0,2540.0,6.7,sawyer-smith-1,118,20,QB,0.0,124.0,0.0,11.0,11.0,1.0,117.0,3.0,253.0,2.2,3,0.0,,Career,1.0,0.0,Overall,1.0,3.0,1.0,221,264,2.2,,0.0,,
Career,6.9,4,897,0,0,0,0,,,6-3,0,0,43,0,Matt Linehan,,1465,0,61.2,62,10752,7.3,matt-linehan-1,333,72,QB,0,131.0,0,0,,0,333,12,309,0.9,12,0.0,,Career,12,1.0,Idaho,16,12,,239,309,0.9,,0,,
Career,-1.2,,3.0,0.0,0.0,,,,,6-1,,,1.0,0.0,Gunnar Amos,,10.0,,30.0,0.0,33.0,3.3,gunnar-amos-1,6,6,QB,0.0,37.7,0.0,0.0,,0.0,6.0,1.0,22.0,3.7,1,,,Career,,,Idaho,,1,,193,22,3.7,,,,
Career,6.0,,317.0,0.0,0.0,,,,,6-2,,,21.0,0.0,Anthony Jennings,,579.0,,54.7,23.0,3970.0,6.9,anthony-jennings-1,271,66,QB,0.0,118.2,0.0,0.0,,0.0,271.0,11.0,651.0,2.4,11,,,Career,,,Overall,,11,,216,651,2.4,,,,
Career,5.8,1,151,0,0,0,0,,,6-3,0,0,8,0,Jordan Davis,,260,0,58.1,11,1660,6.4,jordan-davis-5,100,36,QB,0,119.5,0,19,19.0,1,99,6,413,4.2,6,0.0,,Career,0,0.0,Louisiana,1,6,,217,432,4.3,,0,,
Career,0.0,,0.0,0.0,0.0,,,,,6-0,,,0.0,0.0,Dion Ray,,2.0,,0.0,0.0,0.0,0.0,dion-ray-1,43,36,QB,0.0,0.0,0.0,0.0,,0.0,43.0,6.0,146.0,3.4,6,,,Career,,,Louisiana,,6,,215,146,3.4,,,,
Career,6.2,0,329,0,0,0,0,,,6-1,1,0,21,0,Garrett Smith,,573,0,57.4,31,3857,6.7,garrett-smith-2,194,30,QB,0,124.5,0,-4,-4.0,1,193,5,632,3.3,5,0.0,,Career,4,0.0,Louisiana-Monroe,4,5,,203,628,3.2,,0,0.0,
Career,7.3,2,756,0,0,1,0,,,6-2,0,0,34,0,Caleb Evans,,1251,0,60.4,58,9520,7.6,caleb-evans-2,468,218,QB,0,134.2,0,0,,0,468,36,2162,4.6,36,0.0,,Career,3,0.0,Louisiana-Monroe,5,36,1.0,210,2162,4.6,,0,,
Career,3.5,1.0,19.0,,,0.0,0.0,,,6-1,0.0,0.0,3.0,,Will Collins,,40.0,0.0,47.5,2.0,233.0,5.8,will-collins-2,39,,QB,,97.9,0.0,0.0,,0.0,39.0,0.0,105.0,2.7,0,0.0,,Career,3.0,0.5,Louisiana-Monroe,4.0,,,198,105,2.7,,0.0,,
Career,6.7,1,309,0,0,0,0,,,6-2,0,0,20,0,Dallas Davis,,546,0,56.6,20,4169,7.6,dallas-davis-2,158,24,QB,0,125.5,0,0,,0,158,4,260,1.6,4,0.0,,Career,1,0.0,South Alabama,2,4,,215,260,1.6,,0,,
Career,6.2,1,205,0,0,0,0,,,6-1,0,0,11,0,Cole Garvin,,374,0,54.8,16,2477,6.6,cole-garvin-1,82,12,QB,0,118.7,0,0,,0,82,2,51,0.6,2,0.0,,Career,0,0.0,South Alabama,1,2,,205,51,0.6,,0,,
Career,7.0,,468.0,0.0,0.0,,,,,6-1,,,21.0,0.0,Conner Manning,,782.0,,59.8,30.0,5858.0,7.5,conner-manning-1,92,18,QB,0.0,130.1,0.0,0.0,,0.0,92.0,3.0,115.0,1.3,3,,,Career,,,Overall,,3,,205,115,1.3,,,,
Career,5.8,0.0,61.0,0.0,0.0,0.0,0.0,,,6-2,0.0,0.0,4.0,0.0,Aaron Winchester,,111.0,0.0,55.0,5.0,721.0,6.5,aaron-winchester-2,102,18,QB,0.0,117.2,0.0,0.0,,0.0,102.0,3.0,405.0,4.0,3,0.0,,Career,1.0,0.0,Georgia State,1.0,3,,190,405,4.0,,0.0,,
Career,,,,,,,,,,6-1,,,,,Jaquez Parks,,,,,,,,jaquez-parks-1,1,,QB,,,0,0,,0,1,0,6,6.0,0,,,Career,,,Georgia State,,,,205,6,6.0,,,,
Career,6.0,0,911,0,0,0,0,,,6-3,0,0,56,0,Tyler Rogers,,1540,0,59.2,69,10364,6.7,tyler-rogers-1,300,90,QB,0,123.2,1,20,10.0,2,298,14,619,2.1,15,0.0,,Career,3,0.0,New Mexico State,3,15,,218,639,2.1,,0,,
Career,3.3,1,18,0,0,0,0,,,6-2,0,0,3,0,Conner Cramer,,40,0,45.0,3,205,5.1,conner-cramer-1,56,18,QB,0,97.8,2,272,8.0,34,22,1,184,8.4,3,0.0,,Career,1,0.0,New Mexico State,2,3,,200,456,8.1,,0,,
Career,4.2,3,115,,,0,0,,,6-2,0,0,7,,Nick Jeanty,,201,0,57.2,6,1038,5.2,nick-jeanty-1,40,,QB,,103.5,0,0,,0,40,0,75,1.9,0,0.0,,Career,3,0.0,New Mexico State,6,,,200,75,1.9,,0,,
Career,6.3,0,789,0,0,0,0,,,6-2,0,0,36,0,Tyler Jones,,1260,0,62.6,55,8501,6.7,tyler-jones-4,510,132,QB,0,128.0,1,22,22.0,1,509,21,1381,2.7,22,0.0,,Career,3,0.0,Texas State,3,22,,197,1403,2.8,,0,,
Career,3.7,1,53,,,0,0,,,6-5,0,0,4,,Connor White,,96,0,55.2,2,499,5.2,connor-white-1,48,,QB,,97.4,0,0,,0,48,0,179,3.7,0,0.0,,Career,0,0.0,Texas State,1,,,200,179,3.7,,0,,
Career,7.0,0.0,12.0,,,0.0,1.0,,,6-3,0.0,0.0,1.0,,Eddie Printz,,26.0,0.0,46.2,1.0,208.0,8.0,eddie-printz-1,17,,QB,,118.4,0.0,0.0,,0.0,17.0,0.0,49.0,2.9,0,0.0,,Career,0.0,0.0,Overall,0.0,,,205,49,2.9,,0.0,,
Career,42.0,,1.0,,,,,,,5-9,,,0.0,,L.G. Williams,,1.0,,100.0,1.0,22.0,22.0,lg-williams-1,6,,QB,,614.8,0.0,33.0,5.5,6.0,0.0,0.0,0.0,,0,,,Career,,,Texas State,,,,193,33,5.5,,,,
Career,9.0,,650,,,,,,,,,,32,,Chris Weinke,,1107,,58.7,79,9839,8.9,chris-weinke-1,110,12,QB,,151.1,,,,,110,2,-366,-3.3,2,,,Career,,,Florida State,,2,,,-366,-3.3,,,,
Career,7.5,,72.0,,,,,,,,,,6.0,,Marcus Outzen,,121.0,,59.5,5.0,1074.0,8.9,marcus-outzen-1,84,18,QB,,137.8,,,,,84,3,142,1.7,3,,,Career,,,Florida State,,3,,,142,1.7,,,,
Career,7.2,,430,,,,,,,,,,23,,Woodrow Dantzler,,741,,58.0,36,5639,7.6,woodrow-dantzler-1,561,162,QB,,131.8,0.0,18.0,6.0,3.0,558,27,2623,4.7,27,,,Career,,,Clemson,,27,,,2641,4.7,,,,
Career,5.7,,197,,,,,,,,,,12,,Willie Simmons,,375,,52.5,14,2410,6.4,willie-simmons-1,102,6,QB,,112.4,0.0,-4.0,-4.0,1.0,101,1,131,1.3,1,,,Career,,,Clemson,,1,,,127,1.2,,,,
Career,4.7,,3.0,,,,,,,,,,0.0,,Matt Schell,,3.0,,100.0,0.0,14.0,4.7,matt-schell-1,7,,QB,,139.2,,,,,7,0,13,1.9,0,,,Career,,,Clemson,,,,,13,1.9,,,,
Career,8.0,,484,,,,,,,,,,18,,George Godsey,,765,,63.3,41,6137,8.0,george-godsey-1,131,38,QB,,143.6,,,,,131,6,-12,-0.1,6,,,Career,,,Georgia Tech,,6,1.0,,-12,-0.1,,,,
Career,5.3,,19,,,,,,,,,,2,,Andy Hall,,43,,44.2,1,299,7.0,andy-hall-1,24,6,QB,,101.0,,,,,24,1,83,3.5,1,,,Career,,,Georgia Tech,,1,,,83,3.5,,,,
Career,4.9,,5.0,,,,,,,,,,0.0,,Jermaine Crenshaw,,8.0,,62.5,0.0,39.0,4.9,jermaine-crenshaw-1,14,,QB,,103.5,0,27,6.8,4,10.0,0.0,33.0,3.3,0,,,Career,,,Georgia Tech,,,,,60,4.3,,,,
Career,7.5,,291,,,,,,,,,,16,,Dan Ellis,,507,,57.4,28,3974,7.8,dan-ellis-1,136,12,QB,,135.2,,,,,136,2,60,0.4,2,,,Career,,,Virginia,,2,,,60,0.4,,,,
Career,6.4,,146,,,,,,,,,,8,,Bryson Spinner,,267,,54.7,15,1770,6.6,bryson-spinner-1,93,6,QB,,122.9,0.0,-7.0,-7.0,1.0,92,1,265,2.9,1,,,Career,,,Virginia,,1,,,258,2.8,,,,
Career,7.0,,716,,,,,,,,,,26,,Matt Schaub,,1069,,67.0,56,7502,7.0,matt-schaub-1,132,34,QB,,138.4,,,,,132,5,58,0.4,5,,,Career,,,Virginia,,5,2.0,,58,0.4,,,,
Career,8.1,,1087,,,,,,,,,,34,,Philip Rivers,,1710,,63.6,95,13484,7.9,philip-rivers-1,255,112,QB,,144.2,1.0,17.0,5.7,3.0,252,17,96,0.4,18,,,Career,,,North Carolina State,,18,2.0,,113,0.4,,,,
Career,5.5,,7,,,,,,,,,,1,,Olin Hannum,,18,,38.9,1,124,6.9,olin-hannum-1,55,6,QB,,104.0,0,70,11.7,6,49,1,275,5.6,1,,,Career,,,North Carolina State,,1,,,345,6.3,,,,
Career,5.7,,345,,,,,,,,,,35,,Ronald Curry,,695,,49.6,28,4987,7.2,ronald-curry-1,349,78,QB,,113.1,0.0,2.0,2.0,1.0,348,13,1249,3.6,13,,,Career,,,North Carolina,,13,,,1251,3.6,,,,
Career,4.7,,18.0,,,,,,,,2.0,1.0,2.0,0,Antwon Black,,37.0,,48.6,0.0,263.0,7.1,antwon-black-1,38,12,QB,1.0,97.5,,,,,38.0,0.0,105.0,2.8,0,,,Career,,,North Carolina,,2,,,105,2.8,,89.0,44.5,
Career,6.5,,198,,,,,,,,,,12,,Calvin McCall,,378,,52.4,10,2797,7.4,calvin-mccall-1,132,12,QB,,116.9,0.0,0.0,0.0,1.0,131,2,314,2.4,2,,,Career,,,Maryland,,2,,,314,2.4,,,,
Career,6.5,,270,,,,,,,,,,13,,Shaun Hill,,455,,59.3,19,3158,6.9,shaun-hill-1,160,50,QB,,125.7,,,,,160,8,401,2.5,8,,,Career,,,Maryland,,8,1.0,,401,2.5,,,,
Career,6.4,,349.0,,,,,,,,,,21.0,,James MacPherson,,639.0,,54.6,16.0,4716.0,7.4,james-macpherson-1,155,12,QB,,118.3,,,,,155.0,2.0,231.0,1.5,2,,,Career,,,Wake Forest,,2,,,231,1.5,,,,
Career,3.9,,47,0.0,0.0,,,,,,,,3,0.0,C.J. Leak,0.0,110,,42.7,2,522,4.7,cj-leak-1,56,6,QB,0.0,83.1,0.0,-2.0,-2.0,1.0,55,1,-71,-1.3,1,,0.0,Career,,,Overall,,1,0.0,,-73,-1.3,,,,
Career,4.7,,316,,,,,,,,,,27,,D. Bryant,,642,,49.2,16,3902,6.1,d-bryant-1,164,30,QB,,100.1,1.0,29.0,14.5,2.0,162,4,-81,-0.5,5,,,Career,,,Duke,,5,,,-52,-0.3,,,,
Career,4.2,,281,,,,,,,,,,31,,Spencer Romine,,573,,49.0,13,3545,6.2,spencer-romine-1,171,36,QB,,97.7,,,,,171,6,-39,-0.2,6,,,Career,,,Duke,,6,,,-39,-0.2,,,,
Career,3.4,,232,,,,,,,,,,27,,Bobby Campbell,,498,,46.6,9,2725,5.5,bobby-campbell-1,104,36,QB,,87.7,,,,,104,6,97,0.9,6,,,Career,,,Duke,,6,,,97,0.9,,,,
Career,6.5,,312,,,,,,,,,,25,,Eric Crouch,,606,,51.5,29,4481,7.4,eric-crouch-1,651,368,QB,,121.1,2.0,109.0,36.3,3.0,648,59,3434,5.3,61,,,Career,,,Nebraska,,61,1.0,,3543,5.4,,,,
Career,5.5,,194,,,,,,,,,,22,,Jammal Lord,,404,,48.0,18,2848,7.0,jammal-lord-1,516,144,QB,,111.0,,,,,516,24,2573,5.0,24,,,Career,,,Nebraska,,24,,,2573,5.0,,,,
Career,0.0,,0.0,,,,,,,,,,0.0,,Joe Chrisman,,5.0,,0.0,0.0,0.0,0.0,joe-chrisman-1,9,,QB,,0.0,,,,,9.0,0.0,12.0,1.3,0,,,Career,,,Nebraska,,,,,12,1.3,,,,
Career,,,,,,,,,,,,,,,Brett Lindstrom,,,,,,,,brett-lindstrom-1,2,,QB,,,,,,,2,0,0,0.0,0,,,Career,,,Nebraska,,,,,0,0.0,,,,
Career,8.3,,259,,,,,,,,,,18,,Jonathan Beasley,,544,,47.6,33,4642,8.5,jonathan-beasley-1,299,158,QB,,132.7,,,,,299,26,965,3.2,26,,,Career,,,Kansas State,,26,1.0,,965,3.2,,,,
Career,7.4,,307,,,,,,,,,,26,,Ell Roberson,,628,,48.9,37,5099,8.1,ell-roberson-1,604,250,QB,,128.3,,,,,604,40,2818,4.7,40,,,Career,,,Kansas State,,40,5.0,,2818,4.7,,,,
Career,5.7,,2.0,,,,,,,,,,0.0,,Jeremy Milne,,3.0,,66.7,0.0,17.0,5.7,jeremy-milne-1,10,,QB,,114.3,0.0,4.0,4.0,1.0,9.0,0.0,16.0,1.8,0,,,Career,,,Kansas State,,,,,20,2.0,,,,
Career,5.7,,306,,,,,,,,,,26,,Sage Rosenfels,,587,,52.1,18,4164,7.1,sage-rosenfels-1,164,84,QB,,113.0,,,,,164,14,660,4.0,14,,,Career,,,Iowa State,,14,,,660,4.0,,,,
Career,13.5,,3,,,,,,,,,,0,,Gerrin Scott,,6,,50.0,1,61,10.2,gerrin-scott-1,5,,QB,,190.4,,,,,5,0,-9,-1.8,0,,,Career,,,Iowa State,,,,,-9,-1.8,,,,
Career,6.6,,265,,,,,,,,,,15,,Craig Ochs,,453,,58.5,16,3325,7.3,craig-ochs-1,105,32,QB,,125.2,1.0,29.0,29.0,1.0,104,4,205,2.0,5,,,Career,,,Colorado,,5,1.0,,234,2.2,,,,
Career,8.1,,136,,,,,,,,,,5,,Bobby Pesavento,,227,,59.9,11,1837,8.1,bobby-pesavento-1,51,12,QB,,139.5,,,,,51,2,-27,-0.5,2,,,Career,,,Overall,,2,,,-27,-0.5,,,,
Career,5.6,,275,,,,,,,,,,18,,Dylen Smith,,569,,48.3,22,3562,6.3,dylen-smith-1,222,66,QB,,107.3,,,,,222,11,522,2.4,11,,,Career,,,Kansas,,11,,,522,2.4,,,,
Career,4.3,,71,,,,,,,,,,5,0.0,Zach Dyer,,148,,48.0,4,779,5.3,zach-dyer-1,70,12,QB,,94.3,,,,,70,2,72,1.0,2,,,Career,,,Kansas,,2,,,72,1.0,,,,
Career,1.1,,8,,,,,,,,,,2,,Jonas Weatherbie,,28,,28.6,1,100,3.6,jonas-weatherbie-1,8,,QB,,56.1,,,,,8.0,0.0,8.0,1.0,0,,,Career,,,Kansas,,,,,8,1.0,,,,
Career,5.6,,226,,,,,,,,,,15,,Kirk Farmer,,476,,47.5,26,2812,5.9,kirk-farmer-1,119,44,QB,,108.8,0.0,35.0,35.0,1.0,118,7,629,5.3,7,,,Career,,,Missouri,,7,1.0,,664,5.6,,,,
Career,6.9,,615,,,,,,,,,,30,,Josh Heupel,,972,,63.3,50,7066,7.3,josh-heupel-1,130,72,QB,,135.1,,,,,130,12,69,0.5,12,,,Career,,,Oklahoma,,12,,,69,0.5,,,,
Career,6.2,,440,,,,,,,,,,23,,Nate Hybl,,759,,58.0,40,4916,6.5,nate-hybl-1,140,28,QB,,123.7,,,,,140,4,-13,-0.1,4,,,Career,,,Oklahoma,,4,2.0,,-13,-0.1,,,,
Career,6.4,,23.0,,,,,,,,,,4.0,,Patrick Fletcher,,41.0,,56.1,4.0,364.0,8.9,patrick-fletcher-1,35,12,QB,,143.4,,,,,35,2,85,2.4,2,,,Career,,,Oklahoma,,2,,,85,2.4,,,,
Career,7.8,,611,,,,,,,,,,28,,Major Applewhite,,1065,,57.4,60,8353,7.8,major-applewhite-1,117,18,QB,,136.6,,,,,117,3,-294,-2.5,3,,,Career,,,Texas,,3,,,-294,-2.5,,,,
Career,7.5,,535,,,,,,,,,,31,,Chris Simms,,911,,58.7,58,7097,7.8,chris-simms-1,159,60,QB,,138.4,,,,,159,10,-137,-0.9,10,,,Career,,,Texas,,10,,,-137,-0.9,,,,
Career,1.0,,1.0,,,,,,,,,,0.0,,Beau Trahan,,1.0,,100.0,0.0,1.0,1.0,beau-trahan-1,7,12,QB,0.0,108.4,,,,,7,2,45,6.4,2,,,Career,,,Texas,,2,,,45,6.4,,,,
Career,6.0,,435,,,,,,,,,,18,,Mark Farris,,755,,57.6,18,4949,6.6,mark-farris-1,116,36,QB,,115.8,1.0,26.0,8.7,3.0,113,5,23,0.2,6,,,Career,,,Texas A&M,,6,,,49,0.4,,,,
Career,8.7,,2,,,,,,,,,,0,,Colby Freeman,,3,,66.7,0,26,8.7,colby-freeman-1,9,12,QB,,139.5,,,,,9,2,53,5.9,2,,,Career,,,Texas A&M,,2,,,53,5.9,,,,
Career,3.6,,7,,,,,,,,,,1,,Vance Smith,,20,,35.0,1,96,4.8,vance-smith-1,4,,QB,,81.8,,,,,4,0,-4,-1.0,0,,,Career,,,Texas A&M,,,,,-4,-1.0,,,,
Career,6.7,,1231,,,,,,,,,,40,,Kliff Kingsbury,,1883,,65.4,95,12429,6.6,kliff-kingsbury-1,274,34,QB,,133.2,0.0,0.0,0.0,1.0,273,5,-166,-0.6,5,,,Career,,,Texas Tech,,5,2.0,,-166,-0.6,,,,
Career,7.8,,529,,,,,,,,,,25,,B.J. Symons,,822,,64.4,59,6378,7.8,bj-symons-1,101,44,QB,,147.1,0.0,19.0,19.0,1.0,100,6,208,2.1,6,,,Career,,,Texas Tech,,6,4.0,,227,2.2,,,,
Career,5.2,,335,,,,,,,,,,22,,Aso Pogi,,583,,57.5,18,3673,6.3,aso-pogi-1,159,54,QB,,113.0,0.0,9.0,9.0,1.0,158,9,150,0.9,9,,,Career,,,Oklahoma State,,9,,,159,1.0,,,,
Career,6.4,,281,,,,,,,,,,24,,Tony Lindsay,,529,,53.1,24,4002,7.6,tony-lindsay-1,412,138,QB,,122.6,0.0,61.0,30.5,2.0,410,23,1353,3.3,23,,,Career,,,Oklahoma State,,23,,,1414,3.4,,,,
Career,4.2,,56,,,,,,,,,,4,,Guy Tomcheck,,158,,35.4,7,701,4.4,guy-tomcheck-1,22,2,QB,,82.3,0.0,-3.0,-3.0,1.0,21.0,0.0,-39.0,-1.9,0,,,Career,,,Baylor,,0,1.0,,-42,-1.9,,,,
Career,5.0,,128,,,,,,,,,,11,,Josh Zachry,,216,,59.3,7,1439,6.7,josh-zachry-1,77,8,QB,,115.7,,,,,77,1,-29,-0.4,1,,,Career,,,Baylor,,1,1.0,,-29,-0.4,,,,
Career,2.6,,31,,,,,,,,,,3,,Michael Odum,,85,,36.5,1,334,3.9,michael-odum-1,16,,QB,,66.3,,,,,16,0,-74,-4.6,0,,,Career,,,Baylor,,,,,-74,-4.6,,,,
